[Name];#N;#S;#C;#T;#E;#I;1;2;3;4;5;6;7;Complexity
Son********;6;6;0;6;6;0;-;-;-;+;-;-;-;1
NME*******;10;10;0;57;9;48;-;-;+;-;-;-;-;0,9
TVC**************;28;28;0;27;26;1;-;+;+;-;+;-;-;0,928571
TvC***************;67;59;8;104;77;27;-;+;+;-;-;-;-;1,305085
TVC******************;19;19;0;24;23;1;-;+;-;-;+;-;-;1,210526
MSC****;19;19;0;33;28;5;-;+;+;-;-;-;-;1,473684
IRD********;6;6;0;9;6;3;-;-;-;-;-;-;-;1
IRD************;13;13;0;24;14;10;-;-;-;-;-;-;-;1,076923
ASI****************************;22;22;0;28;26;2;-;+;+;-;+;-;-;1,181818
ASI*****************************;63;59;4;99;73;26;-;+;+;-;-;-;-;1,237288
ASI********************************;21;21;0;28;26;2;-;+;-;-;+;-;-;1,238095
Sys**************************;2;2;0;1;0;1;-;-;-;-;-;-;-;0
MK4***************;2;2;0;1;1;0;-;-;-;-;-;-;-;0,5
GAU*********;35;34;1;42;36;6;-;+;-;-;-;-;-;1,058824
GZM***************;29;28;1;66;37;29;-;-;-;-;-;-;-;1,321429
GZM************;4;4;0;6;3;3;-;-;-;-;-;-;-;0,75
ECU*********;31;30;1;66;40;26;-;+;-;-;-;-;-;1,333333
VTB************;42;42;0;98;46;52;-;-;-;-;-;-;-;1,095238
VTB************;5;5;0;8;5;3;-;-;-;-;-;-;-;1
VTB*************;8;8;0;10;8;2;-;-;-;-;-;-;-;1
VTB***************;5;5;0;8;5;3;-;-;-;-;-;-;-;1
VTB*****************;6;6;0;7;5;2;-;-;-;-;-;-;-;0,833333
VTB***************;7;7;0;11;8;3;-;-;-;-;-;-;-;1,142857
VTB*****************;7;7;0;15;7;8;-;-;-;-;+;-;-;1
VTB*****************;7;7;0;14;8;6;-;-;-;-;-;-;-;1,142857
VTB*************;13;13;0;24;16;8;-;-;-;-;-;-;-;1,230769
Her****************;47;44;3;328;78;250;-;-;-;-;-;-;-;1,772727
Her**************;8;8;0;27;21;6;+;-;-;-;-;-;-;2,625
Her***********;20;20;0;65;34;31;-;-;-;+;+;-;+;1,7
Her*****************;12;12;0;24;18;6;-;-;-;+;-;-;-;1,5
GSS***********;29;29;0;92;37;55;-;-;+;-;-;-;-;1,275862
GSS****************;0;0;0;0;0;0;-;-;-;-;-;-;-;1,275862
Wip*****;15;14;1;25;20;5;-;-;+;-;-;-;-;1,428571
Wip********;5;5;0;11;4;7;-;-;-;-;-;-;-;0,8
EOA*************;2;2;0;15;1;14;-;-;-;-;-;-;-;0,5
Pow************;8;8;0;8;6;2;-;-;-;-;-;-;-;0,75
EOA********************;0;0;0;0;0;0;-;-;-;-;-;-;-;0,75
PIO;8;8;0;7;6;1;-;-;-;-;-;-;-;0,75
EOA******************;0;0;0;0;0;0;-;-;-;-;-;-;-;0,75
EOA*;8;8;0;14;11;3;-;-;+;-;-;-;-;1,375
EOA******************;5;5;0;7;5;2;-;-;-;-;-;-;-;1
EOA************************;0;0;0;0;0;0;-;-;-;-;-;-;-;1
RS4**;5;5;0;7;5;2;-;-;-;-;-;-;-;1
Eye*********;107;97;10;145;118;27;-;+;+;-;+;-;-;1,216495
TDS*********;18;18;0;22;16;6;-;-;+;-;-;-;-;0,888889
Com************;32;32;0;74;37;37;-;-;+;-;-;-;-;1,15625
Com**********;98;96;2;221;139;82;-;+;+;-;-;-;-;1,447917
