[Name]                                                      :   #N   #S   #C   #T(  #E:  #I) | 1 2 3 4 5 6 7 | Complexity
SystemEnvironmentServicesStub                               :    2    2    0    1(   0:   1) | - - - - - - - |   0,000000
MK44_30mm_Test_cls                                          :    2    2    0    1(   1:   0) | - - - - - - - |   0,500000
AS3Communicator                                             :   12   12    0   13(  12:   1) | - - - - - - - |   1,000000
ThermalCamera                                               :   23   23    0   42(  27:  15) | - - - - + - - |   1,173913
LRFUnit                                                     :    7    7    0   10(   5:   5) | - - - - + - - |   0,714286
Camera                                                      :   26   26    0   50(  34:  16) | - - - - - - - |   1,307692
SKBInterface                                                :   11   11    0   20(  10:  10) | - - - - - - - |   0,909091
GSABInterface                                               :   25   25    0   55(  26:  29) | - + - - - - - |   1,040000
GSABCommunicationHandler                                    :   11   11    0   14(  11:   3) | - - - - - - - |   1,000000
TLUSInterface                                               :   10   10    0   13(  10:   3) | - - - - - - - |   1,000000
TestTLUSInterface                                           :    4    4    0    7(   5:   2) | - - - - - - - |   1,250000
SKB_Simulator                                               :   11   11    0   11(  11:   0) | - - - - + - - |   1,000000
IRDAMTester                                                 :    6    6    0    9(   6:   3) | - - - - - - - |   1,000000
IRDAMDataParser                                             :   13   13    0   24(  14:  10) | - - - - - - - |   1,076923
VTBCmdInterface                                             :   42   42    0   98(  46:  52) | - - - - - - - |   1,095238
VTBSymInterface                                             :    5    5    0    8(   5:   3) | - - - - - - - |   1,000000
VTBDataInterface                                            :    8    8    0   10(   8:   2) | - - - - - - - |   1,000000
VTBSwLoadInterface                                          :    5    5    0    8(   5:   3) | - - - - - - - |   1,000000
VTBPlatformInterface                                        :    6    6    0    7(   5:   2) | - - - - - - - |   0,833333
VTBSymGDIInterface                                          :    7    7    0   11(   8:   3) | - - - - - - - |   1,142857
VTBEsImgOpsInterface                                        :    7    7    0   15(   7:   8) | - - - - + - - |   1,000000
VTBEsScnOpsInterface                                        :    7    7    0   14(   8:   6) | - - - - - - - |   1,142857
VTBVirtualConfig                                            :   13   13    0   24(  16:   8) | - - - - - - - |   1,230769
ATS60TV                                                     :   26   26    0   63(  30:  33) | - - - - - - - |   1,153846
ATS60Interface                                              :   34   34    0   51(  29:  22) | - - + - - - - |   0,852941
ATS60LRF                                                    :    8    8    0   16(   6:  10) | - - - - - - - |   0,750000
